脏乱差，脏乱差，脏乱差！！有蚊子，有老鼠，住地下室，公共卫生间简直脏的要命！被套也不换，网上预订不能退就是*一个坑！,卫生,negative,被套,negative,,,,,,,,,,
这是我见过最差劲的青年旅舍，房间又脏又乱，老板太度很糟糕。,老板,negative,房间,negative,,,,,,,,,,
公寓位置不好找，不过老板娘服务好热情，公用卫生间，需要自己带洗漱用品,位置,negative,服务,positive,卫生,negative,,,,,,,,
位置确实很方便 就在地铁口 但具体位置却是地下室 隔音非常差 隔壁房间的人讲话听得清清楚楚 晚上睡觉能醒个十来八回的,位置,positive,隔音,negative,,,,,,,,,,
基本可以，但不适合住酒店的人,环境,neutral,,,,,,,,,,,,
乱收费、乱要钱、乱索押金，乱找茬子、乱提要求，环境脏乱差、服务坑蒙拐骗、哄吓诈骗。,环境,negative,服务,negative,价格,negative,,,,,,,,
这家店新开业不没多久小是一家村里的农家院，就是一对小夫妻开的，他两挺客气谁和的，我在他家住了一夜挺好的我住的三个男生一屋，当晚就我自己，真舒服住的，57一位男在没这么便宜的了，现在有来北京或从北京市里来八达岭长玩的快下单吧，三个人住一屋多好呀。,服务,positive,位置,positive,,,,,,,,,,
特别心累，建议皮肤有些敏感的朋友不要住在这，我在那个床上睡了一晚第二天就开始起疹子，不是夸张，我住别的旅社都没出现过这样的问题，很糟心,卫生,negative,,,,,,,,,,,,
这是我见过的，最差的，没有之一的青旅！艺龙上看着环境不错下的单，到了附近被告知改了地址，有人下来接我上去，进了房间感觉像进入了一个传销窝点，一点不夸张，乱七八糟形容已经不够用，随便给我找个枕套被罩让我自己套上，我看到那种环境，真的懒得住了，坐在厅里充了一会电，决定走了，换了一家青旅，评论里说的那么好，真的呵呵了！,环境,negative,,,,,,,,,,,,
环境真的不敢恭维，老板人不错，可能因为是男生，所以不注重卫生，房间里一股味道,环境,negative,卫生,negative,老板,negative,,,,,,,,
房间挺干净的，接待的是位小姐姐，人很好，,房间,positive,小姐姐,positive,,,,,,,,
干净卫生，安静，室友之间互不打扰，老板人挺好，推荐。,卫生,positive,老板,positive,,,,,,,,
美女老板人很好，环境也很温馨。,环境,positive,老板,positive,,,,,,,,
干净卫生 态度特别好 青年住宿不错的选择,态度,positive,卫生,positive,,,,,,,,
个人感觉还不错，店主比较热情，房间收拾的蛮整洁，有wifi上网，卫生间内有洗衣机可以洗衣服，以及淋浴⋯⋯,房间,positive,店主,positive,,,,,,,,
这家旅社换了个位置，不过离地铁站还是不远，就是一个住宅改的，如果是要住在通州北苑附近的话还是推荐的，毕竟比较方便,位置,positive,,,,,,,,,,
住的挺舒心的，环境很好，配套设施也齐全，下单后第一时间联系老板，,环境,positive,设施,positive,老板,positive,,,,,,
环境很好，老板非常热情。,环境,positive,老板,positive,,,,,,,,
忘记拍照了。住了一晚，床位68元，干净卫生，自助服务。离地铁站近，性价比不错。,服务,positive,卫生,positive,性价比,positive,,,,,,
整体感觉还是挺好的，有点大学宿舍的感觉，就是位置不太好找，一定要提前跟旅舍联系一下，不然找不到的。,位置,negative,,,,,,,,,,
老板姐姐人特好，发来详细路线教我怎么走，一会就到了，还给我安排一全女生的三人间带独卫，经济实惠，干净卫生，真心赞！,卫生,positive,老板,positive,,,,,,,,
环境赞，服务很贴心。,环境,positive,服务,positive,,,,,,,,
订的单人间，结果半夜被老板拍醒，说有人下错订单得和我住一起，又强塞了一个人到屋里，折腾了半天基本没休息好，心好累，住了好多旅店第一次遇到这种情况。。。,老板,negative,,,,,,,,,,
地理位置不错，普通设施。卫生状况基本可以。,位置,positive,设施,positive,卫生,positive,,,,,,
老板娘很热情，也不乱，这个价位已经算挺好了,老板,positive,价位,positive,,,,,,,,
一下地铁走五分钟就到了。小区内有水果店和商店很方便。环境很好，室内有空调，很干净，老板人也超级好。最后一天即使不在这里住还让我在这里放行李和洗澡。,环境,positive,老板,positive,,,,,,,,
这种青旅公寓形式的特别适合我们这些，来京找工作，求职，学习居住的地方，卫生干净，老板热情待人，我个人觉得可以，值得推荐！,卫生,positive,老板,positive,,,,,,,,
老板娘人不错，出行方便地铁离得近，适合独身来玩的过渡,老板,positive,,,,,,,,,,
还行，虽然说是十人，实际十几人，但是卫生比较好，每天都有阿姨来清洁。,卫生,positive,,,,,,,,,,
如果非要让我评论，一个字，差，两个字很差，三个字非常差，四个字很差很差，五个字非常非常差，六个字，其实还好青旅老板很热心环境也说得过去，哈哈,环境,negative,老板,negative,,,,,,,,,,
就一间房不是青年旅社。房间里一股难闻的气味直冲鼻子 开着窗也散不了,环境,negative,,,,,,,,,,,,
都是长租的多，空调坏了，热。环境差。,环境,negative,,,,,,,,,,,,
第一次住青旅，住的十人间，结果和想象中的不一样，不仅没有前台，而且是住在小区的某栋楼里的某间屋，进门一看，乖乖，不止有十个人啊，这间屋里还有三间房，而且很乱，厕所脏，花洒还没喷头__就一根管子立在哪，可怕！我劝有洁癖的人慎重考虑。,卫生,negative,,,,,,,,,,,,
首先房价是很便宜，来找工作可以来暂住，如果来旅游介意不要住这地方，你一想超过三十人公用一个洗手间就知道是怎么回事，而且半夜很吵，有洗澡的，有煮饭搞夜宵的，乱七八糟.,价格,positive,环境,negative,,,,,,,,,,
地理位置非常优越。。交通也非常便利。。公交地铁就在不远处。在小区里，还是很方便的。老板还是很热情的。,位置,positive,交通,positive,老板,positive,,,,,,,,
常住客非常多，卫生条件很差。住的人非常多，旅游的话不建议住。如果是打算在北京找工作的话可以考虑一下。,卫生,negative,,,,,,,,,,,,
都是常住的北漂，住宿条件特别差，特别脏。,环境,negative,卫生,negative,,,,,,,,,,
是个群租房 根本不是青年旅社 但是价格便宜 位置好 交通便利,位置,positive,交通,positive,价格,positive,环境,negative,,,,,,
一般吧 10 个人一个屋 遇到几个打呼噜的就不用睡了,环境,negative,,,,,,,,,,,,
